ArticleId,Text,Category
238,brewers  profits lose their fizz heineken and carlsberg  two of the world s largest brewers  have reported falling profits after beer sales in western europe fell flat.  dutch firm heineken saw its annual profits drop 33% and warned that earnings in 2005 may also slide. danish brewer carlsberg suffered a 3% fall in profits due to waning demand and increased marketing costs. both are looking to russia and china to provide future growth as western european markets are largely mature.  heineken s net income fell to 537m euros ($701m; £371m) during 2004  from 798m euro a year ago. it blamed weak demand in western europe and currency losses. it had warned in september that the weakening us dollar  which has cut the value of foreign sales  would knock 125m euros off its operating profits. despite the dip in profits  heineken s sales have been improving and total revenue for the year was 10bn euros  up 8.1% from 9.26bn euros in 2003. heineken said it now plans to invest 100m euros in  aggressive  and  high-impact  marketing in europe and the us in 2005. heineken  which also owns the amstel and murphy s stout brands  said it would also seek to cut costs. this may involve closing down breweries.  heineken increased its dividend payment by 25% to 40 euro cents  but warned that the continued impact of a weaker dollar and an increased marketing spend may lead to a drop in 2005 net profit.  carlsberg  the world s fifth-largest brewer  saw annual pre-tax profits fall to 3.4bn danish kroner (456m euros). its beer sales have been affected by the sluggish european economy and by the banning of smoking in pubs in several european countries. nevertheless  total sales increased 4% to 36bn kroner  thanks to strong sales of carlsberg lager in russia and poland. carlsberg is more optimistic than heineken about 2005  projecting a 15% rise in net profits for the year. however  it also plans to cut 200 jobs in sweden  where sales have been hit by demand for cheap  imported brands.  we remain cautious about the medium-to-long term outlook for revenue growth across western europe for a host of economic  social and structural reasons   investment bank merrill lynch said of carlsberg.,business
2173,middlesbrough 2-2 charlton a late header by teenager danny graham earned middlesbrough a battling draw with charlton at the riverside.  matt holland had put the visitors ahead in the 14th minute after his shot took a deflection off franck queudrue. but middlesbrough peppered the charlton goal after the break and chris riggott stroked home the equaliser. shaun bartlett s strike put charlton back in front but that lead lasted just six minutes before graham rushed onto queudrue s pass to head home. the match burst to life from the whistle and charlton defender hermann hreidarsson had sight of an open goal after just six minutes. hreidarsson received danny murphy s free-kick from the right but he crashed his free header wide of the far post. the iceland international looked such a danger the boro bench could be heard issuing frantic instructions to mark him.  charlton s early pressure paid off when bartlett received a long ball from talal el karkouri in the box and laid it off to holland who buried his right-footed strike. szilard nemeth  recalled in place of joseph-desire job  was twice denied his chance to get middlesbrough back on level terms by dean kiely. the striker played a great one-two with jimmy floyd hasselbaink only to see kiely get down well to smother his shot before directing a header straight into the keeper s arms. boro had plenty of time on the ball but the addicks comfortably mopped up the pressure - with kiely tipping a hasselbaink header over the bar - to take their lead into half-time.  it was all one-way traffic after the break at the riverside as middlesbrough poured forward and kiely even saved hreidarsson s blushes when he palmed the ball away to prevent a charlton own goal. but the addicks keeper could do nothing about riggott s equaliser in the 74th minute. the boro defender looked suspiciously offside as he got on the end of gareth southgate s misdirected effort  but despite the charlton protests his goal stood. the addicks did not let their heads drop and bartlett left the boro defence standing  picking up hreidarsson s cross to easily sink his right-footed strike. but substitute graham was on hand to grab a share of the points for the home side. the 19-year-old striker nodding home the equaliser - and his first premiership goal - with five minutes left on the clock.   i felt we did enough to win the game even though the first half was lacklustre.  we dominated after the break  the players showed a fantastic response and we should have gone on to win.  but for (charlton goalkeeper) dean kiely  who made three tremendous saves  we could have scored five or six.    to take the lead and then to get penned back  it feels a little bit like a defeat   admitted kiely.  we were winning but middlesbrough kept knocking on the door. but we stood up and credit to us we didn t capitulate.  we ll kick on now. our short-term ambition is to progress from the seventh place finish from last year.   nash  reiziger (graham 82)  riggott  southgate  queudrue  parlour (job 86)  doriva  nemeth (parnaby 87)  zenden  downing  hasselbaink.  subs not used: cooper  knight.  riggott 74  graham 86.  kiely  hreidarsson  perry  el karkouri  young  konchesky  murphy (euell 78)  holland  kishishev  thomas (johansson 72)  bartlett.  subs not used: fish  jeffers  andersen.  konchesky  hreidarsson  perry.  holland 14  bartlett 80.  29 603  m riley (w yorkshire).,sport
1990,hodgson shoulders england blame fly-half charlie hodgson admitted his wayward kicking played a big part in england s 18-17 defeat to france.  hodgson failed to convert three penalties and also missed a relatively easy drop goal attempt which would have given england a late win.  i m very disappointed with the result and with my myself   hodgson said.  it is very hard to take but it s something i will have to get through and come back stronger. my training s been good but it just didn t happen.  hodgson revealed that olly barkley had taken three penalties because they were  out of my range  but the centre could not convert his opportunities either  particularly the drop goal late on.  it wasn t a good strike   he added.  i felt as soon as it hit my boot it had missed. it s very disappointing  but i must recover.  andy robinson said he would  keep working on the kicking  with his squad. however  the england coach added that he would take some positives from the defeat.   we went out to play and played some very good rugby and what have france done   he said.  they won the game from kicking penalties from our 10m line.  it s very frustrating. the lads showed a lot of ambition in the first half  they went out to sustain it in the second but couldn t build on it.  we took the ball into contact  and you know when you do that it is a lottery whether the referee is going to give the penalty to your side or the other side.  we have lost a game we should have won. there is a fine line between winning and losing  and for the second week we ve been on the wrong side of that line and it hurts.   england went in at half-time with a 17-6 lead but they failed to score in the second half and dimitri yachvili slotted over four penalties as france overhauled the deficit. england skipper jason robinson admitted his side failed to cope with france s improved second-half display.   we controlled the game in the first half but we knew that they would come out and try everything after half-time   he said.  we made a lot of mistakes in the second half and they punished us. they took their chances when they came.  it s very disappointing. last week we lost by two points  now one point.,sport
1350,legendary music studio to close the new york music studio where john lennon spent his final hours is to close next month.  the hit factory  which opened 37 years ago  has played host to some of the biggest stars in music  including paul simon  madonna and david bowie. however  the rise in digital recording has affected business at the studio  which is relocating to smaller premises in miami. lennon recorded his final album double fantasy at the studio in 1979.  the studio was founded by jerry ragovoy in 1968. in 1975 it was sold to fellow producer edward germano  who turned it into a 100 000 square foot studio with seven recording rooms and live mastering suites. his first client was stevie wonder  who recorded part of his classic album songs in the key of life there. other well-known albums to be recorded or partially recorded at the studio include bruce springsteen s born in the usa  the rolling stones  emotional rescue and paul simon s graceland. michael jackson  billy joel  jay-z and beyonce are also among artists who have used the hit factory in the past  as well as 50 cent who survived an attempt on his life as he left the premises in 2000. the studio made history in 1994 when it won a record 41 grammy nominations for songs recorded  mastered or mixed there  including the soundtrack to the whitney houston film the bodyguard.,entertainment
1327,wenger keeping faith with almunia arsene wenger has pledged to keep faith with stand-in keeper manuel almunia for the crunch week which could define arsenal s season.  almunia will start tuesday s champions league group tie against rosenborg and is likely to face chelsea on sunday. wenger said:  you don t think i would take out one goalkeeper for just one game  do you  i don t do that.  i have to give him a run for a few games. it s just that i don t want to make this story bigger than it is.  wenger insists he has complete faith in the 27-year-old spaniard  who was signed last summer from celta vigo as back-up to jens lehmann.   if you look at my career  you will see that i have left many big players out for a long time. i ve done it with dennis bergkamp  kanu  everybody.  it s because it s a goalkeeper  that s all. it s a usual situation for me. you put your best team out  no matter who it is.  for me  it was not a big mistake at old trafford and i wasn t alarmed by what happened against birmingham either.  it s nothing against lehmann. i think he s a great keeper  as is almunia. you can only play one of them.  these people are not robots - they have good periods and less good periods. just because lehmann doesn t play for two or three weeks  or longer or shorter  it doesn t mean i ve lost faith in him.   but former arsenal keeper david seaman believes lehmann has been harshly treated. seaman told the daily mail:  jens is a fantastic keeper. he deserves another chance.  he has made a few mistakes but on form he deserves to be the first-team choice.  with arsenal hit by injuries and suspension  inexperienced midfield pair of mathieu flamini and cesc fabregas will line up against rosenborg but wenger is confident they will prove more than capable.  it puts a lot of pressure on them but it s a good learning process   said wenger.  i m not worried as they are both mentally strong and will put in the needed workrate.   the gunners go into the game boosted by the news that defender sol campbell is on the verge of signing a new deal with the club. and the 30-year-old  whose current contract runs out in the summer  has made it clear he is determined to achieve champions league success with arsenal. campbell said:  it means a lot to me to go through  it s everything. we want to carry on in this competition.  that s where the best teams in europe are. to be in there  playing against these guys and trying to win the trophy  is the first thing in my mind.   meanwhile  thierry henry believes he will be blamed if arsenal fail to qualify for the next stage of the champions league. henry will captain the side in place of the suspended patrick vieira as the gunners seek the required victory over rosenborg. and the striker said:  if we don t win and we go out of the competition  like it or not  it s going to be my fault. that s the way it is.  if the team don t win i know i will be criticised  no matter how i play.,sport
2070,ferguson puts faith in youngsters manchester united manager sir alex ferguson said he has no regrets after his second-string side lost 3-0 away at fenerbahce in the champions league.  ferguson said:  the good thing about being manager is that you are in control of which team to pick.  i care about united  that s important  so while i am disappointed at the result i am not at the team i selected.  this game was important for the young lads. they will remember it and next time they come they will be better.  ferguson admitted his side were well-beaten by the turks  a result which meant they finished second in group d behind lyon. he added:  they ll know not to play like that again. we showed a lack of strength. but i have no complaints about the scoreline.  in the second half we had some good moments in attack. and in that situation  you have to take one chance.  but we didn t do that  so the game just petered out for us.  i didn t think it made much difference whether we won the group or finished second and i still don t.  we could get inter  ac milan and juventus but bayern  barcelona and real madrid were among the runners-up. all we can do is let fate decide how it works out.,sport
153,lib dems demand new inquiry a judge should look into the david blunkett controversy as key questions remain unanswered  the lib dems say.  sir alan budd s inquiry linked the ex-home secretary to the speeding up of a visa claim by his ex-lover s nanny. but he could not say whether mr blunkett had treated the nanny as a special case or had used her as an example of immigration problems. lib dem spokesman mark oaten said the number of officials who had forgotten what happened was worrying. he told bbc news:  i m extremely concerned that 20 individuals appear to have forgotten what happened or more suspiciously are not prepared to say what happened.  that must be bad for government  it must be bad for public confidence in the system.   mr oaten said people would be mystified why sir alan s inquiry failed to uncover why processing of the visa application was speeded up. he said:  there is a strong case for a judge-led judicial review of this because  of course  next time it happens it may not be about a nanny and their visa. it may be about something even more important than that.  so we do need to understand what took place and who was involved.  the tories criticised the lib dem stance  saying mr oaten had initially said he accepted mr blunkett s word unless further evidence emerged. but lib dem officials say mr oaten was speaking when an inquiry was under way and was avoiding rushing to judgement.,politics
1368,howard denies split over id cards michael howard has denied his shadow cabinet was split over its decision to back controversial labour plans to introduce id cards.  the tory leader said his front bench team had reached a  collective view  after holding a  good discussion   but admitted it was  not an easy issue . he had decided to support the plans as the police said they would help fight terror  crime and illegal immigration. the lib dems have pledged to oppose the bill when it is debated next monday.  tory sources say senior party figures had argued vociferously against the id card scheme. among those reported to have serious reservations over the strategy were senior shadow cabinet members david davis  oliver letwin and tim yeo. but mr howard denied mr yeo  his transport and environment spokesman  said the plans  stink . he also said he was confident shadow home secretary mr davis would  set out the position very clearly  when he stands up to debate the matter next week. mr howard said the police had said id cards could  help them foil a terror bomb plot in which people could lose their lives . he added:  when the police say that you have to take them seriously .  he acknowledged there were  good libertarian arguments  against the cards  but said the shadow cabinet had weighed up all the  conflicting interests  before reaching its decision.  i don t pretend that it is an easy decision but at the end of the day a decision has to be taken.  he also denied he was afraid of looking  soft  on the issue  compared to labour. the conservatives announced their support for the government plans on monday evening.  sources within the party told the bbc mr howard had always been in favour of id cards  and tried to introduce them when he was home secretary. but the tories insisted they would hold ministers to account over the precise purpose of the scheme.  they said they would also press labour over whether objectives could be met and whether the home office would be able to deliver them. and they pledged to assess the cost effectiveness of id cards and whether people s privacy would be properly protected.  it is important to remember that this bill will take a decade to come into full effect   a spokesman said. lib dem home affairs spokesman mark oaten has branded the id scheme a waste of money and  deeply flawed . he said:  this has all the signs of michael howard overruling colleagues  concerns over id cards.   the chairman of the bar council  guy mansfield qc warned there was a real risk that people on the  margins of society  would be driven into the hands of extremists.  what is going to happen to young asian men when there has been a bomb gone off somewhere  they are going to be stopped. if they haven t [id cards] they are going to be detained.  tory ex-minister douglas hogg said he opposed the plans for id cards branding them a  regressive  step which would intrude into the lives of ordinary citizens without any counterbalancing benefits. he predicted ultimately carrying the cards would become compulsory and that would lead to large numbers of britain s ethnic minorities being stopped by police.,politics
919,intel unveils laser breakthrough intel has unveiled research that could mean data is soon being moved around chips at the speed of light.  scientists at intel have overcome a fundamental problem that before now has prevented silicon being used to generate and amplify laser light. the breakthrough should make it easier to interconnect data networks with the chips that process the information. the intel researchers said products exploiting the breakthrough should appear by the end of the decade.   we ve overcome a fundamental limit   said dr mario paniccia  director of intel s photonics technology lab. writing in the journal nature  dr paniccia - and colleagues haisheng rong  richard jones  ansheng liu  oded cohen  dani hak and alexander fang - show how they have made a continuous laser from the same material used to make computer processors. currently  says dr paniccia  telecommunications equipment that amplifies the laser light that travels down fibre optic cables is very expensive because of the exotic materials  such as gallium arsenide  used to make it.  telecommunications firms and chip makers would prefer to use silicon for these light-moving elements because it is cheap and many of the problems of using it in high-volume manufacturing have been solved.  we re trying to take our silicon competency in manufacturing and apply it to new areas   said dr paniccia. while work has been done to make some of the components that can move light around  before now silicon has not successfully been used to generate or amplify the laser light pulses used to send data over long distances. this is despite the fact that silicon is a much better amplifier of light pulses than the form of the material used in fibre optic cables. this improved amplification is due to the crystalline structure of the silicon used to make computer chips. dr paniccia said that the structure of silicon meant that when laser light passed through it  some colliding photons rip electrons off the atoms within the material.  it creates a cloud of electrons sitting in the silicon and that absorbs all the light   he said. but the intel researchers have found a way to suck away these errant electrons and turn silicon into a material that can both generate and amplify laser light. even better  the laser light produced in this way can  with the help of easy-to-make filters  be tuned across a very wide range of frequencies. semi-conductor lasers made before now have only produced light in a narrow frequency ranges. the result could be the close integration of the fibre optic cables that carry data as light with the computer chips that process it. dr paniccia said the work was the one of several steps needed if silicon was to be used to make components that could carry and process light in the form of data pulses.  it s a technical validation that it can work   he said.,tech
1640,feta cheese battle reaches court a row over whether only greece should be allowed to label its cheese feta has reached the european court of justice.  the danish and german governments are challenging a european commission ruling which said greece should have sole rights to use the name. the commission s decision gave the same legal protection to feta as to italian parma ham and french champagne. but critics of the judgement say feta is a generic term  with the cheese produced widely outside greece.  the commission s controversial 2002 ruling gave  protected designation of origin  status to feta cheese made in greece  effectively restricting the use of the feta name to producers there.  from 2007 onwards  greek firms will have the exclusive use of the feta label and producers elsewhere in europe must find another name to describe their products. the german and danish governments argue that feta does not relate to a specific geographical area and that their firms have been producing and exporting the cheese for years.  in our opinion it is a generic designation and we do not have any other name or term for this type of cheese   hans arne kristiansen  a spokesman for the danish dairy board  told the bbc. denmark is europe s second largest producer of feta after greece - producing about 30 000 tonnes a year - and exports its products to greece. it is concerned that the ruling could threaten the production of other cheeses in denmark such as brie.  it would cost millions if we wanted to introduce a new designation   mr kristiansen said.  that is just one of the costs.   the case will also have a major impact on britain s sole feta producer  yorkshire company shepherds purse cheeses.  judy bell  the company s founder  said it would cost a huge amount to rebrand its product.  if we lose we will have to go through a massive re-merchandising process and reorganisation   she said.  we have never tried to pull the wool over anyone s eyes - it s very clear from the label that it s yorkshire feta.  the original decision was a victory for greece  where feta cheese is believed to have been produced for about 6 000 years. feta is a soft white cheese made from sheep or goat s milk  and is an essential ingredient in greek cuisine. greece makes 115 000 tonnes  mainly for domestic consumption. the court is expected to reach a verdict in the case in the autumn.,business
